# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   20.201222338   20.201234878   20.201223912
    0.060120240   20.181568252   20.181580771   20.181569819
    0.120240481   20.143863904   20.143876383   20.143865455
    0.180360721   20.094409101   20.094421528   20.094410633
    0.240480962   20.033491593   20.033503956   20.033493101
    0.300601202   19.961371968   19.961384255   19.961373448
    0.360721443   19.878353946   19.878366147   19.878355394
    0.420841683   19.784781220   19.784793324   19.784782633
    0.480961924   19.681033679   19.681045675   19.681035053
    0.541082164   19.567523357   19.567535236   19.567524690
    0.601202405   19.444690207   19.444701962   19.444691497
    0.661322645   19.312997761   19.313009383   19.312999006
    0.721442886   19.172928763   19.172940244   19.172929960
    0.781563126   19.024980844   19.024992178   19.024981993
    0.841683367   18.869662309   18.869673491   18.869663409
    0.901803607   18.707488089   18.707499112   18.707489139
    0.961923848   18.538975898   18.538986758   18.538976898
    1.022044088   18.364642655   18.364653349   18.364643606
    1.082164329   18.185001183   18.185011708   18.185002085
    1.142284569   18.000557211   18.000567563   18.000558064
    1.202404810   17.811806696   17.811816874   17.811807502
    1.262525050   17.619233468   17.619243470   17.619234228
    1.322645291   17.423307193   17.423317020   17.423307910
    1.382765531   17.224481658   17.224491308   17.224482332
    1.442885772   17.023193348   17.023202822   17.023193982
    1.503006012   16.819860319   16.819869616   16.819860914
    1.563126253   16.614881334   16.614890456   16.614881893
    1.623246493   16.408635249   16.408644198   16.408635775
    1.683366733   16.201480629   16.201489405   16.201481123
    1.743486974   15.993755554   15.993764161   15.993756019
    1.803607214   15.785777625   15.785786064   15.785778063
    1.863727455   15.577844111   15.577852383   15.577844525
    1.923847695   15.370232244   15.370240354   15.370232636
    1.983967936   15.163199631   15.163207580   15.163200003
    2.044088176   14.956984755   14.956992547   14.956985111
    2.104208417   14.751807570   14.751815207   14.751807910
    2.164328657   14.547870146   14.547877632   14.547870474
    2.224448898   14.345357379   14.345364717   14.345357697
    2.284569138   14.144437723   14.144444916   14.144438033
    2.344689379   13.945263959   13.945271010   13.945264262
    2.404809619   13.747973971   13.747980884   13.747974271
    2.464929860   13.552691536   13.552698314   13.552691833
    2.525050100   13.359527104   13.359533750   13.359527400
    2.585170341   13.168578578   13.168585095   13.168578875
    2.645290581   12.979932075   12.979938468   12.979932376
    2.705410822   12.793662677   12.793668948   12.793662982
    2.765531062   12.609835150   12.609841302   12.609835460
    2.825651303   12.428504650   12.428510686   12.428504967
    2.885771543   12.249717396   12.249723320   12.249717722
    2.945891784   12.073511319   12.073517133   12.073511654
    3.006012024   11.899916679   11.899922386   11.899917024
    3.066132265   11.728956656   11.728962260   11.728957013
    3.126252505   11.560647910   11.560653412   11.560648278
    3.186372745   11.395001107   11.395006512   11.395001489
    3.246492986   11.232021428   11.232026737   11.232021823
    3.306613226   11.071709031   11.071714247   11.071709440
    3.366733467   10.914059501   10.914064627   10.914059926
